"slug","bullet1","bullet2","bullet3","bullet4","bullet5"
"kbis-international","Le « Kbis international » n'existe pas : chaque pays gère son propre registre du commerce, il n'existe aucune institution mondiale unifiée.","Pour vérifier une entreprise étrangère, il faut consulter l'équivalent local du Kbis dans le registre officiel du pays concerné.","Pour utiliser un Kbis français à l'étranger, il faut souvent le faire traduire par un traducteur assermenté, voire l'apostiller selon le pays de destination.","L'extrait Kbis reste un document strictement français, sans valeur juridique directe hors de France.",""
"kbis-pour-artisan","Un artisan n'a pas systématiquement de Kbis : ce document est réservé aux activités commerciales inscrites au RCS.","Activité purement artisanale : pas de Kbis, mais un justificatif d'immatriculation au Registre National des Entreprises (RNE) ou un avis Sirene.","Artisan-commerçant (achat-revente en plus du savoir-faire) : double immatriculation RNE + RCS, donc accès au Kbis ou à l'extrait K.","L'extrait D1 délivré par les CMA n'existe plus pour les nouvelles entreprises depuis le 1er janvier 2023, remplacé par le justificatif RNE.",""
"business-plan-site-ecommerce","Le business plan e-commerce repose sur des variables spécifiques : coût d'acquisition client, taux de conversion et logistique, plus que sur un loyer ou un local.","L'étude de marché et l'analyse concurrentielle permettent d'identifier la proposition de valeur et de construire un avantage différenciant durable.","La définition d'un persona client précis (démographique et psychographique) oriente toute la stratégie produit et marketing.","Le prévisionnel financier doit chiffrer les investissements de lancement, les coûts récurrents et les hypothèses de chiffre d'affaires sur 3 à 5 ans.",""
"business-plan-pour-une-boulangerie","Le business plan boulangerie suit cinq étapes : présentation du projet, étude de marché locale, business model, stratégie commerciale, prévisionnel financier.","Une boulangerie est un commerce de proximité : la zone de chalandise, la concurrence locale et la clientèle cible déterminent la viabilité.","L'offre doit combiner pains, viennoiseries, pâtisseries et idéalement snacking pour diversifier les sources de revenus.","Le prévisionnel doit anticiper l'investissement matériel lourd (four, pétrin, vitrines), les charges de personnel et les marges sectorielles.",""
"business-plan-etude-de-marche","L'étude de marché et le business plan sont complémentaires : la première valide l'opportunité, le second planifie l'exploitation de cette opportunité.","L'étude de marché analyse la demande, l'offre concurrentielle, l'environnement réglementaire et les canaux de distribution du secteur visé.","Le business plan formalise la stratégie commerciale, le modèle économique, la structure juridique et les prévisions financières du projet.","Sans étude de marché solide, les hypothèses du business plan manquent de fondement et le projet perd toute crédibilité auprès des financeurs.",""
"business-plan-financement","Le business plan « financement » sert à convaincre banques et investisseurs en démontrant la viabilité et la rentabilité du projet.","Trois documents à ne pas confondre : le business plan (l'ensemble), le prévisionnel financier (les tableaux chiffrés), le plan de financement (besoins vs ressources durables).","Les besoins se regroupent en investissements de départ, besoin en fonds de roulement et trésorerie de démarrage.","La cohérence entre les hypothèses descriptives et les chiffres est ce qui rend un dossier crédible aux yeux des financeurs.",""
"audit-d-acquisition","L'audit d'acquisition (due diligence) sécurise une reprise en validant les données financières, identifiant les risques cachés et préparant la négociation.","Il intervient après la lettre d'intention et avant la signature de l'acte de cession, lors de la phase de négociations exclusives.","Un audit complet couvre plusieurs domaines : comptable, financier, juridique, fiscal, social et opérationnel.","La Vendor Due Diligence (VDD) est un audit préparé par le vendeur lui-même pour fluidifier la cession et rassurer les acheteurs.",""
"creer-une-holding-familiale","La holding familiale est une société mère détenue par une même famille, qui contrôle des filiales pour centraliser leur gestion et leur trésorerie.","Elle permet d'optimiser la circulation des dividendes (régime mère-fille), de mutualiser les financements et de préparer la transmission patrimoniale.","Le pacte Dutreil et la donation-partage de titres de holding offrent des leviers fiscaux puissants pour transmettre le patrimoine à moindre coût.","Sa complexité juridique et ses coûts de fonctionnement imposent une analyse préalable avant tout montage.",""
"commissaire-a-la-transformation-sas-en-sarl","Le commissaire à la transformation atteste que les capitaux propres sont au moins égaux au capital social et évalue les avantages particuliers consentis.","Lors d'une transformation SAS → SARL, sa désignation n'est pas systématique : elle dépend de la présence d'un commissaire aux comptes et de la situation comptable.","Si la SAS dispose déjà d'un commissaire aux comptes, il peut produire le rapport, ce qui simplifie la procédure.","L'objectif final est de protéger associés et tiers en garantissant la solidité financière de la nouvelle structure.",""
"modele-pv-perte-de-la-moitie-du-capital-social-sas","L'alerte se déclenche lorsque les capitaux propres deviennent inférieurs à la moitié du capital social.","Le président doit convoquer une AG dans les 4 mois suivant l'approbation des comptes pour décider de la poursuite ou de la dissolution anticipée.","La décision (continuation ou dissolution) doit être formalisée dans un PV, déposé au greffe et publié dans un support d'annonces légales.","Si la situation n'est pas régularisée dans les deux exercices suivants, tout intéressé peut demander la dissolution judiciaire de la société.",""
"documents-a-fournir-eurl","Pour immatriculer une EURL, le dossier doit contenir le formulaire M0, les statuts signés, l'attestation de parution de l'annonce légale et le certificat de dépôt des fonds.","S'ajoutent un justificatif d'occupation du siège, les pièces du gérant (identité, non-condamnation, filiation) et la déclaration des bénéficiaires effectifs.","Pour les apports en nature dépassant 30 000 € (ou la moitié du capital), un rapport de commissaire aux apports est exigé.","Tout passe désormais par le Guichet Unique de l'INPI, où un dossier complet permet d'obtenir rapidement l'extrait Kbis.",""
"documents-a-fournir-sarl","Pour créer une SARL, les pièces obligatoires sont : statuts signés, attestation de dépôt du capital, justificatif de domiciliation, DBE, attestation d'annonce légale.","Pour chaque gérant : copie de pièce d'identité et déclaration sur l'honneur de non-condamnation et de filiation.","Documents conditionnels : rapport du commissaire aux apports en cas d'apport en nature important, autorisation d'exercice pour les activités réglementées.","Le dossier se dépose exclusivement sur le Guichet Unique de l'INPI pour obtenir l'immatriculation au RCS et le Kbis.",""
"documents-a-fournir-sasu","L'immatriculation d'une SASU exige les statuts signés par l'associé unique, le certificat du dépositaire des fonds, l'attestation d'annonce légale et la DBE.","Côté président : copie de pièce d'identité, déclaration de non-condamnation et de filiation, et acte de nomination si non désigné dans les statuts.","Cas particuliers : justificatif d'autorisation pour activités réglementées, rapport du commissaire aux apports en cas d'apport en nature.","L'ensemble se dépose sur le Guichet Unique INPI pour obtenir le Kbis et activer juridiquement la société.",""
"documents-a-fournir-sas","Avant le dossier, il faut rédiger les statuts (acte fondateur), déposer le capital sur compte bloqué et publier l'avis de constitution dans un support d'annonces légales.","Le dossier d'immatriculation comprend : statuts datés et signés, attestation de dépôt des fonds, justificatif de siège, DBE, attestation d'annonce légale.","Documents pour chaque dirigeant : pièce d'identité, déclaration de non-condamnation et de filiation.","Selon la situation : rapport de commissaire aux apports, autorisations pour activités réglementées, pacte d'actionnaires (facultatif).",""
"president-eurl","L'EURL n'a pas de président : son dirigeant légal s'appelle un gérant, contrairement à la SASU qui est dirigée par un président.","Le gérant est une personne physique mandatée par la société pour la représenter auprès des tiers et assurer la gestion courante.","Il est affilié à la Sécurité Sociale des Indépendants (TNS) s'il est associé majoritaire, ce qui change tout par rapport au régime assimilé-salarié de la SASU.","Ses responsabilités civile et pénale peuvent être engagées en cas de faute de gestion.",""
"sasu-salarie","Une SASU peut embaucher un nombre illimité de salariés ; son caractère « unipersonnel » se réfère uniquement à l'unicité de l'associé.","Le franchissement de seuils d'effectifs (11, 50 salariés) déclenche des obligations supplémentaires comme la mise en place du CSE.","Le président rémunéré bénéficie du statut d'assimilé-salarié, mais ne peut cumuler son mandat avec un contrat de travail dans la même SASU que sous conditions strictes.","L'associé unique peut rester salarié d'une autre entreprise tant qu'il respecte son contrat de travail (clause d'exclusivité, non-concurrence).",""
"conseil-de-surveillance-sas","Le conseil de surveillance n'est pas obligatoire en SAS : seul le président est imposé par la loi, le reste de la gouvernance est libre.","Sa mission est de contrôler la gestion assurée par les dirigeants, sans diriger la société lui-même.","Sa composition, ses pouvoirs et ses règles de fonctionnement doivent être intégralement définis dans les statuts.","Il est utile pour équilibrer les pouvoirs lorsqu'il existe plusieurs catégories d'actionnaires (fondateurs, investisseurs, family office).",""
"assemblee-generale-sarl","L'AG ordinaire (AGO) est annuelle et obligatoire dans les 6 mois suivant la clôture des comptes : approbation des comptes, affectation du résultat, gestion du gérant.","L'AG extraordinaire (AGE) se tient pour toute modification statutaire : capital, objet social, dénomination, transfert de siège, transformation, dissolution.","Convocation, quorum et majorité dépendent du type d'AG et de la date de création de la SARL ; les statuts peuvent imposer des règles plus strictes.","Chaque AG doit être formalisée par un procès-verbal, archivé et parfois déposé au greffe selon la nature des décisions.",""
"pacte-dassocies","Le pacte d'associés est un contrat confidentiel qui complète les statuts pour organiser les relations entre associés sur mesure.","Contrairement aux statuts, il reste secret entre les signataires et permet d'inclure des clauses sensibles non publiques.","Clauses fréquentes : préemption, droit de sortie conjointe, anti-dilution, droit de veto, non-concurrence, gouvernance, sortie en cas de désaccord.","Sa violation engage la responsabilité contractuelle des signataires mais n'invalide pas l'opération réalisée à l'égard des tiers.",""
"associe-minoritaire-sarl","L'associé minoritaire détient moins de 50 % du capital : il ne peut pas imposer ses décisions, mais dispose de droits politiques et financiers réels.","Sa responsabilité financière est limitée à ses apports, sauf s'il est aussi gérant et commet une faute de gestion.","Droits clés : information, vote en AG, perception des dividendes, droit de poser des questions écrites, demande d'expertise de gestion.","Une minorité de blocage (≥ 1/4 des parts pour une SARL post-2005) permet de s'opposer aux décisions extraordinaires.",""
"associe-dans-une-sarl","Une SARL compte de 2 à 100 associés, personnes physiques ou morales ; au-delà, elle doit changer de forme juridique sous un an.","Les associés ont un droit politique (vote en AG) et un droit financier (dividendes, boni de liquidation), proportionnels à leurs parts sociales.","Leur responsabilité financière est limitée au montant de leurs apports, hors caution personnelle ou faute de gestion en tant que gérant.","Les obligations principales : libérer les apports souscrits, contribuer aux pertes et respecter les statuts ainsi que les décisions collectives.",""
"modeles-statuts-eurl","Les statuts sont l'acte fondateur de l'EURL : ils en définissent le cadre juridique, fiscal et social.","Un modèle générique doit toujours être personnalisé : capital, objet social, durée, modalités de cession, options fiscales, choix du gérant.","Clauses indispensables : dénomination, siège, durée, capital, apports, gérance, exercice social, dissolution, règles de prise de décision.","Faire relire les statuts par un professionnel évite des clauses obsolètes ou non conformes qui pourraient bloquer l'immatriculation.",""
"modeles-statuts-sarl","Les statuts SARL agissent comme un contrat entre associés et fixent les règles de fonctionnement opposables aux tiers.","Mentions essentielles : dénomination, siège, objet social, durée (max 99 ans), capital, apports, répartition des parts, gérance.","Un modèle générique doit être adapté à la situation : régime fiscal, gérance majoritaire ou minoritaire, capital fixe ou variable, activité réglementée.","Une relecture par un professionnel évite les clauses obsolètes et limite les risques de rejet par le greffe.",""
"redaction-statuts-sas","La rédaction des statuts SAS est l'acte fondateur de la société : sans eux, elle n'existe pas juridiquement.","Mentions obligatoires : forme, dénomination, objet, siège, durée, capital, apports, identité du président, organes de gouvernance, exercice social.","La SAS offre une grande liberté contractuelle : c'est l'occasion de personnaliser la gouvernance, les droits de vote et les conditions de cession des actions.","Coût indicatif : gratuit en autonomie, 200-500 € via plateforme en ligne, 1 000-2 500 € avec un avocat ou notaire pour des montages complexes.",""
"sarl-modification-statuts","Toute modification d'un élément essentiel des statuts (nom, siège, objet, capital, durée, forme) impose une procédure formelle.","Étapes : décision en AGE à la majorité requise, mise à jour des statuts, publication d'une annonce légale, dépôt sur le Guichet Unique de l'INPI.","Le coût total varie selon la modification : annonce légale (~150-200 €), frais de greffe (~80-200 €), honoraires éventuels.","Certaines évolutions (changement de gérant nommé hors statuts, cession de parts) ne nécessitent pas toujours de modifier les statuts.",""
"sas-modification-des-statuts","Modifier les statuts d'une SAS exige une décision collective des associés, formalisée dans un procès-verbal.","Cas fréquents : changement de dénomination, transfert de siège, modification du capital, de l'objet social, de la durée ou de la forme juridique.","Étapes : décision des associés selon les règles statutaires, mise à jour des statuts, annonce légale, dépôt sur le Guichet Unique INPI.","Les coûts oscillent entre 200 et 500 € (annonce, greffe) hors honoraires d'accompagnement.",""
"pv-de-non-remuneration-president-sasu","Le PV de non-rémunération formalise la décision de l'associé unique de ne pas rémunérer son président de SASU au titre de son mandat.","Il sert principalement à justifier l'absence de revenus auprès de France Travail pour préserver l'allocation chômage (ARE).","Il diffère de l'attestation de non-rémunération : le PV est l'acte juridique qui crée la décision, l'attestation en est la simple preuve.","Aucun salaire minimum n'est imposé au président de SASU ; cette décision peut être révisée à tout moment par un nouveau PV.",""
"sas-tns","Le président de SAS rémunéré n'est jamais TNS : il relève obligatoirement du régime des assimilés-salariés au régime général.","Le statut TNS concerne l'entrepreneur individuel, le micro-entrepreneur, le gérant majoritaire de SARL et le gérant associé unique d'EURL.","L'assimilé-salarié bénéficie d'une meilleure protection sociale (hors chômage) mais paie des cotisations plus élevées que le TNS.","Le choix entre SAS et SARL doit donc intégrer cet arbitrage entre coût des cotisations et niveau de protection sociale.",""
"sasu-retraite","Un retraité peut créer et diriger une SASU : aucune restriction d'âge, et les cotisations ne sont dues que sur la rémunération versée.","Sans salaire, aucune cotisation sociale n'est exigible : la pension de retraite est préservée intégralement.","La rémunération en dividendes (PFU 30 % ou barème) permet de générer un complément de revenu sans nouvelles cotisations sociales.","Le cumul emploi-retraite est possible, plafonné ou intégral selon la liquidation de la pension à taux plein.",""
"president-sas-non-remunere-et-retraite","Pas de rémunération = pas de droits : un président de SAS non rémunéré ne valide aucun trimestre de retraite de base ni de point Agirc-Arrco.","Les dividendes ne génèrent aucun droit à la retraite : ils sont soumis aux prélèvements sociaux mais pas aux cotisations vieillesse.","L'absence de cotisations entraîne aussi une perte de couverture maladie, prévoyance et indemnités journalières.","Solutions : se verser un salaire minimal pour valider des trimestres, ou souscrire à des dispositifs Madelin / PER pour compenser.",""
"cumul-president-sas-et-retraite","Le cumul emploi-retraite suppose d'avoir atteint l'âge légal et liquidé toutes ses pensions auprès de tous les régimes.","Cumul intégral : aucun plafond, possible si liquidation à taux plein ; les nouvelles cotisations n'ouvrent plus de droits supplémentaires depuis 2023, sauf cas particuliers.","Cumul plafonné : revenus + pension limités à la dernière rémunération avant liquidation, ou 1,6 fois le SMIC.","Le président de SAS étant assimilé-salarié, ses revenus de mandat entrent dans le calcul du cumul comme un salaire classique.",""
"meilleur-banque-pro-sasu","Le compte pro est obligatoire pour une SASU : il sert au dépôt du capital et à la séparation patrimoine société / patrimoine personnel.","Néobanques (Qonto, Shine, Propulse) : tarifs réduits, ouverture rapide, idéal pour activités digitales et freelances.","Banques en ligne (Boursorama Pro, Hello bank! Pro) : compromis tarifs/services, intéressant pour la plupart des SASU.","Banques traditionnelles : indispensables pour les commerces avec encaissements espèces/chèques ou les projets nécessitant un financement bancaire.",""
"compte-courant-debiteur-sas","En SAS, le compte courant d'associé débiteur est strictement interdit pour les associés personnes physiques (sanctions pénales possibles).","Il reste autorisé pour les associés personnes morales (autres sociétés), sous réserve de respecter les conditions de marché.","Pour le président personne physique non associé, l'interdiction est totale, comme pour tout dirigeant.","Sanctions : nullité de l'opération, abus de biens sociaux (5 ans de prison, 375 000 € d'amende), redressement fiscal et URSSAF.",""
"consequences-passage-sci-ir-a-is","Le passage de l'IR à l'IS est en principe irrévocable et transforme radicalement la fiscalité de la SCI et de ses associés.","À l'IS, la SCI peut amortir le bien immobilier (déductible), mais les plus-values relèvent du régime des plus-values professionnelles, sans abattement pour durée de détention.","Les bénéfices distribués deviennent des dividendes soumis à PFU 30 % (ou barème), au lieu de revenus fonciers à l'IR.","Le changement de régime entraîne une imposition immédiate des plus-values latentes et des bénéfices en sursis à la date du basculement.",""
"indemnites-kilometriques-entreprise-individuelle","Les indemnités kilométriques permettent à un entrepreneur individuel de déduire forfaitairement les frais de son véhicule personnel utilisé à titre professionnel.","Le calcul utilise le barème officiel annuel publié par l'administration fiscale, fonction du type de véhicule, de sa puissance et des km parcourus.","Le barème couvre globalement carburant, entretien, assurance, pneus et amortissement ; les autres frais (parking, péages) restent déductibles aux frais réels.","Justificatifs essentiels : un carnet de bord détaillé (date, km, motif, client) à conserver pour l'administration fiscale.",""
"indemnites-kilometriques-eurl","Le gérant d'EURL peut se faire rembourser ses frais de véhicule personnel via les indemnités kilométriques selon le barème officiel.","Tous types de véhicules personnels sont éligibles (voiture, deux-roues, cyclomoteur), même loués, à condition que le gérant supporte les frais.","Seuls les trajets strictement professionnels sont couverts ; le trajet domicile-travail relève d'un régime distinct et limité.","Le remboursement est exonéré de charges sociales et d'impôt pour le gérant, et constitue une charge déductible pour l'EURL.",""
"indemnites-kilometriques-sarl","Tous les gérants (majoritaires, minoritaires, non associés) et salariés peuvent percevoir des indemnités kilométriques pour leurs déplacements professionnels.","Le calcul s'appuie sur le barème officiel annuel : type de véhicule, puissance fiscale, distance annuelle parcourue.","Le remboursement est exonéré de charges sociales pour la SARL et non imposable pour le bénéficiaire, sous condition de justificatifs rigoureux.","Le gérant majoritaire (TNS) doit appliquer les mêmes règles, avec une vigilance accrue de l'administration sur les justificatifs.",""
"indemnites-kilometriques-sasu","Le président de SASU peut se faire rembourser ses km en utilisant son véhicule personnel ; le remboursement n'est ni imposable ni chargé socialement.","Conditions clés : véhicule au nom du président (ou conjoint/PACS), déplacements strictement professionnels.","Le calcul suit le barème officiel annuel selon type, puissance et distance, et constitue une charge déductible pour la SASU.","Justificatifs requis : carnet de bord détaillé, copie de la carte grise, note de frais et règlement bancaire en faveur du président.",""
"indemnites-kilometriques-sas","En SAS, les indemnités kilométriques sont accessibles aux salariés et au président assimilé-salarié, à condition que le véhicule soit personnel.","Le calcul s'appuie sur le barème officiel publié chaque année (type, puissance fiscale, distance annuelle).","Le remboursement est exonéré de charges sociales pour la SAS et non imposable pour le bénéficiaire, sous réserve de justificatifs solides.","Les frais annexes (péages, parking, restauration) restent remboursables séparément aux frais réels, et non couverts par le barème.",""
"frais-de-repas-dirigeant-sas","Pour qu'un repas soit déductible en SAS/SASU, il doit être engagé dans l'intérêt direct et exclusif de l'entreprise.","Cas éligibles : repas pris en déplacement professionnel ou repas d'affaires avec un tiers (client, prospect, fournisseur).","Les repas pris seul à proximité du lieu de travail relèvent de la sphère personnelle et ne sont pas déductibles.","Justificatifs indispensables : facture nominative, identité du convive, motif professionnel, date et lieu, idéalement notés au dos.",""
"charges-deductibles-entreprise-individuelle","Quatre conditions cumulatives : intérêt direct de l'entreprise, diminution de l'actif net, comptabilisation dans l'exercice, justificatif probant.","Charges classiques déductibles : achats, loyers, fournitures, salaires, cotisations sociales, frais financiers, déplacements, formation.","Particularités EI : amortissement du véhicule au prorata pro/perso, frais de repas plafonnés au-delà du seuil de l'administration.","Sans justificatif, aucune déduction : la conservation des factures et tickets pendant les durées légales est essentielle.",""
"charges-deductibles-eurl","Une charge est déductible si elle est engagée dans l'intérêt de l'EURL, justifiée par une pièce probante et comptabilisée dans le bon exercice.","Catégories courantes : achats, loyers et charges, salaires et cotisations sociales du gérant, frais financiers, déplacements, services extérieurs.","Cas particuliers : indemnités kilométriques, frais de repas, dépenses mixtes (téléphone, internet) au prorata professionnel.","Dépenses exclues : amendes, dépenses somptuaires, frais personnels du gérant, dépenses non justifiées par une facture nominative.",""
"charges-deductibles-sarl","Trois critères cumulatifs : intérêt direct de la société, justification par pièce probante, rattachement à l'exercice concerné.","Charges classiques : achats, loyers, salaires, cotisations sociales, frais financiers, frais généraux, services extérieurs, taxes.","Distinction charges/immobilisations : les biens durables sont amortis sur plusieurs années, seul l'amortissement annuel est déductible.","Exclusions : amendes, dépenses somptuaires, dépenses personnelles, frais excessifs ou non justifiés.",""
"charges-deductibles-sasu","Trois conditions : intérêt direct de l'exploitation, justificatif officiel, montant non excessif ni fictif.","Charges récurrentes : loyer, fournitures, salaires, cotisations du président assimilé-salarié, frais bancaires, abonnements professionnels.","Immobilisations (matériel, véhicule) : seules les dotations aux amortissements annuelles sont déductibles, pas le coût total d'achat.","Pour limiter le risque de redressement : factures nominatives, comptabilité rigoureuse, distinction stricte pro / perso.",""
"charges-deductibles-sas","Quatre conditions : gestion normale, dépense effective justifiée, comptabilisation dans le bon exercice, absence d'exclusion légale.","Charges déductibles courantes : loyer, salaires, cotisations sociales, frais de déplacement, sous-traitance, fournitures, services bancaires.","Distinction clé : charges (consommées rapidement) vs immobilisations (amorties sur plusieurs années) vs dépenses personnelles (jamais déductibles).","Exclusions légales : amendes, dépenses somptuaires (chasse, yacht), pénalités fiscales, certains cadeaux et avantages.",""
"charges-sociales-entreprise-individuelle","Les charges sociales financent la protection sociale du TNS : maladie, retraite, invalidité-décès, allocations familiales, CSG-CRDS, formation.","Micro-entreprise : pourcentage fixe du CA (12,3 % vente, 21,2 % services libéraux, 21,1 % services BIC en 2024).","Régime réel : ~45 % du bénéfice via acomptes mensuels/trimestriels et régularisation annuelle après déclaration.","L'assurance chômage n'est pas couverte par le régime TNS ; il est possible de souscrire une assurance volontaire dédiée.",""
"charges-sociales-eurl","Le gérant associé unique est TNS : ses cotisations représentent environ 45 % de sa rémunération nette.","Le gérant non associé d'EURL est assimilé-salarié : cotisations bien plus élevées (~70-80 % du net) mais protection sociale plus complète.","Cotisations TNS : maladie-maternité, retraite de base et complémentaire, invalidité-décès, allocations familiales, CSG-CRDS, formation.","Le calcul s'appuie sur la rémunération du gérant ; à l'IS, les dividendes au-delà de 10 % du capital sont aussi soumis aux cotisations sociales.",""
"charges-sociales-sarl","Le statut social du gérant dépend du nombre de parts détenues : majoritaire (>50 %) = TNS, minoritaire ou égalitaire = assimilé-salarié.","Gérant TNS majoritaire : ~45 % de cotisations sur la rémunération nette ; protection sociale moins étendue.","Gérant minoritaire ou égalitaire (assimilé-salarié) : ~65-70 % du net en cotisations, mais protection sociale alignée sur celle d'un cadre.","Les dividendes du gérant majoritaire au-delà de 10 % du capital sont soumis aux cotisations sociales TNS, contrairement à ceux du gérant minoritaire.",""
"charges-sociales-sas","Le président de SAS est assimilé-salarié : régime général, hors assurance chômage.","Cotisations totales : ~80 % du net (parts patronale + salariale), pour une protection sociale complète de type cadre.","Aucune cotisation due si le président n'est pas rémunéré, mais aucun droit acquis (retraite, maladie, invalidité).","Les dividendes ne sont soumis qu'aux prélèvements sociaux (17,2 %) et à l'IR (PFU 30 % ou barème), pas aux cotisations sociales.",""
"tarif-comptable-entreprise-individuelle","Le tarif d'un comptable EI dépend du niveau de service, de la complexité et du volume de transactions.","Logiciel en autonomie : ~30 € HT/mois ; cabinet en ligne : 70-120 € HT/mois ; expert-comptable traditionnel : 120-250 € HT/mois.","Budget annuel typique : 800 € HT (en ligne) à 3 000 € HT (proximité avec accompagnement personnalisé).","Le choix dépend de la complexité de l'activité, du besoin de conseil stratégique et du contact humain souhaité.",""
"tarif-comptable-sasu","Tarifs typiques : logiciel 20-50 €/mois (autonomie), expert en ligne 70-150 €/mois, cabinet de proximité 150-500 €/mois.","Budget annuel : de 240 € HT (logiciel seul) à 6 000 € HT (cabinet pour SASU complexe avec salariés et stocks).","La lettre de mission formalise la prestation ; le forfait annuel mensualisé est le modèle le plus courant en SASU.","Les facteurs de variation : volume de factures, gestion de la paie, TVA, complexité fiscale, conseils stratégiques.",""
